Date,Sales
1/1/2009,"7,855"
1/2/2009,"12,329"
1/3/2009,"11,617"
1/4/2009,"7,684"
1/5/2009,"8,448"
1/6/2009,"8,022"
1/7/2009,"8,410"
1/8/2009,"7,850"
1/9/2009,"12,399"
1/10/2009,"11,919"
1/11/2009,"7,767"
1/12/2009,"8,199"
1/13/2009,"8,522"
1/14/2009,"8,339"
1/15/2009,"8,112"
1/16/2009,"12,486"
1/17/2009,"12,371"
1/18/2009,"8,180"
1/19/2009,"8,081"
1/20/2009,"7,814"
1/21/2009,"8,699"
1/22/2009,"8,115"
1/23/2009,"12,318"
1/24/2009,"12,080"
1/25/2009,"8,439"
1/26/2009,"8,596"
1/27/2009,"8,559"
1/28/2009,"8,286"
1/29/2009,"8,237"
1/30/2009,"12,900"
1/31/2009,"12,640"
2/1/2009,"8,072"
2/2/2009,"9,040"
2/3/2009,"8,926"
2/4/2009,"8,211"
2/5/2009,"8,614"
2/6/2009,"12,752"
2/7/2009,"12,337"
2/8/2009,"8,634"
2/9/2009,"8,164"
2/10/2009,"8,460"
2/11/2009,"8,705"
2/12/2009,"8,803"
2/13/2009,"12,423"
2/14/2009,"12,233"
2/15/2009,"8,519"
2/16/2009,"8,633"
2/17/2009,"8,968"
2/18/2009,"8,991"
2/19/2009,"8,476"
2/20/2009,"12,387"
2/21/2009,"13,193"
2/22/2009,"8,319"
2/23/2009,"8,896"
2/24/2009,"9,192"
2/25/2009,"8,388"
2/26/2009,"8,668"
2/27/2009,"12,784"
2/28/2009,"12,340"
3/1/2009,"8,612"
3/2/2009,"8,740"
3/3/2009,"9,198"
3/4/2009,"8,833"
3/5/2009,"8,742"
3/6/2009,"12,865"
3/7/2009,"12,433"
3/8/2009,"9,387"
3/9/2009,"8,583"
3/10/2009,"9,156"
3/11/2009,"8,508"
3/12/2009,"9,234"
3/13/2009,"12,819"
3/14/2009,"13,032"
3/15/2009,"8,654"
3/16/2009,"8,731"
3/17/2009,"8,754"
3/18/2009,"9,082"
3/19/2009,"8,497"
3/20/2009,"13,231"
3/21/2009,"13,307"
3/22/2009,"8,685"
3/23/2009,"8,979"
3/24/2009,"8,726"
3/25/2009,"8,967"
3/26/2009,"9,198"
3/27/2009,"12,592"
3/28/2009,"12,497"
3/29/2009,"8,554"
3/30/2009,"8,848"
3/31/2009,"9,009"
