year,city_temp,global_temp
1849,25.98,7.98
1850,25.87,7.90
1851,26.10,8.18
1852,,8.10
1853,,8.04
1854,,8.21
1855,,8.11
1856,26.35,8.00
1857,25.45,7.76
1858,25.92,8.10
1859,26.18,8.25
1860,26.01,7.96
1861,25.95,7.85
1862,25.90,7.56
1863,,8.11
1864,,7.98
1865,,8.18
1866,,8.29
1867,,8.44
1868,,8.25
1869,,8.43
1870,,8.20
1871,,8.12
1872,,8.19
1873,26.46,8.35
1874,26.08,8.43
1875,25.82,7.86
1876,25.82,8.08
1877,26.35,8.54
1878,26.26,8.83
1879,25.67,8.17
1880,26.14,8.12
1881,26.39,8.27
1882,26.01,8.13
1883,26.42,7.98
1884,26.43,7.77
1885,26.01,7.92
1886,25.87,7.95
1887,25.09,7.91
1888,25.42,8.09
1889,25.34,8.32
1890,24.86,7.97
1891,25.29,8.02
1892,25.49,8.07
1893,25.67,8.06
1894,25.59,8.16
1895,25.92,8.15
1896,25.87,8.21
1897,26.29,8.29
1898,25.79,8.18
1899,26.31,8.40
1900,26.42,8.50
1901,26.53,8.54
1902,26.09,8.30
1903,25.68,8.22
1904,25.48,8.09
1905,26.16,8.23
1906,26.21,8.38
1907,25.96,7.95
1908,26.15,8.19
1909,26.08,8.18
1910,26.13,8.22
1911,25.72,8.18
1912,26.17,8.17
1913,26.65,8.30
1914,26.75,8.59
1915,26.81,8.59
1916,26.60,8.23
1917,26.96,8.02
1918,26.41,8.13
1919,26.70,8.38
1920,26.72,8.36
1921,26.77,8.57
1922,26.73,8.41
1923,26.63,8.42
1924,26.95,8.51
1925,26.64,8.53
1926,26.97,8.73
1927,26.88,8.52
1928,26.75,8.63
1929,26.48,8.24
1930,26.84,8.63
1931,26.85,8.72
1932,26.46,8.71
1933,26.93,8.34
1934,26.89,8.63
1935,26.90,8.52
1936,26.66,8.55
1937,26.96,8.70
1938,26.82,8.86
1939,26.39,8.76
1940,26.81,8.76
1941,27.36,8.77
1942,26.95,8.73
1943,26.53,8.76
1944,27.07,8.85
1945,27.07,8.58
1946,26.72,8.68
1947,26.98,8.80
1948,26.61,8.75
1949,26.98,8.59
1950,26.57,8.37
1951,26.89,8.63
1952,26.66,8.64
1953,26.66,8.87
1954,26.28,8.56
1955,26.42,8.63
1956,26.31,8.28
1957,26.65,8.73
1958,26.68,8.77
1959,26.72,8.73
1960,26.68,8.58
1961,26.46,8.80
1962,26.55,8.75
1963,27.01,8.86
1964,26.48,8.41
1965,26.53,8.53
1966,26.84,8.60
1967,26.43,8.70
1968,26.67,8.52
1969,26.89,8.60
1970,26.92,8.70
1971,26.56,8.60
1972,26.91,8.50
1973,27.20,8.95
1974,26.44,8.47
1975,26.27,8.74
1976,26.37,8.35
1977,27.01,8.85
1978,26.73,8.69
1979,26.99,8.73
1980,26.85,8.98
1981,26.79,9.17
1982,26.66,8.64
1983,26.99,9.03
1984,26.98,8.69
1985,26.74,8.66
1986,26.65,8.83
1987,27.51,8.99
1988,27.04,9.20
1989,26.71,8.92
1990,27.06,9.23
1991,26.88,9.18
1992,26.73,8.84
1993,26.90,8.87
1994,26.84,9.04
1995,27.07,9.35
1996,26.92,9.04
1997,26.91,9.20
1998,27.53,9.52
1999,27.03,9.29
2000,27.02,9.20
2001,26.92,9.41
2002,27.13,9.57
2003,27.37,9.53
2004,27.32,9.32
2005,27.39,9.70
2006,27.53,9.53
2007,27.46,9.73
2008,27.30,9.43
2009,27.53,9.51
2010,27.79,9.70
2011,27.35,9.52
2012,27.15,9.51
2013,27.36,9.61
